route_id,stops
R001_up,"['S030', 'S027', 'S056', 'S043', 'S022', 'S055', 'S048', 'S046', 'S059', 'S060', 'S010', 'S047', 'S004', 'S015']"
R001_down,"['S015', 'S004', 'S047', 'S010', 'S060', 'S059', 'S046', 'S048', 'S055', 'S022', 'S043', 'S056', 'S027', 'S030']"
R002_up,"['S027', 'S050', 'S042', 'S049', 'S032', 'S010', 'S047', 'S013', 'S016', 'S025', 'S024', 'S031', 'S019', 'S026', 'S044']"
R002_down,"['S044', 'S026', 'S019', 'S031', 'S024', 'S025', 'S016', 'S013', 'S047', 'S010', 'S032', 'S049', 'S042', 'S050', 'S027']"
R003_up,"['S053', 'S022', 'S015', 'S046', 'S033', 'S011', 'S024', 'S003', 'S045', 'S017', 'S059', 'S048', 'S042', 'S037']"
R003_down,"['S037', 'S042', 'S048', 'S059', 'S017', 'S045', 'S003', 'S024', 'S011', 'S033', 'S046', 'S015', 'S022', 'S053']"
R004_up,"['S014', 'S034', 'S007', 'S049', 'S016', 'S003', 'S043', 'S023', 'S013', 'S012', 'S052', 'S053', 'S018', 'S056', 'S004']"
R004_down,"['S004', 'S056', 'S018', 'S053', 'S052', 'S012', 'S013', 'S023', 'S043', 'S003', 'S016', 'S049', 'S007', 'S034', 'S014']"
R005_up,"['S039', 'S007', 'S037', 'S027', 'S001', 'S046', 'S028', 'S012', 'S054', 'S013', 'S026', 'S033']"
R005_down,"['S033', 'S026', 'S013', 'S054', 'S012', 'S028', 'S046', 'S001', 'S027', 'S037', 'S007', 'S039']"
R006_up,"['S055', 'S033', 'S056', 'S036', 'S020', 'S029', 'S007', 'S009', 'S042', 'S037', 'S016', 'S021', 'S026', 'S023', 'S015']"
R006_down,"['S015', 'S023', 'S026', 'S021', 'S016', 'S037', 'S042', 'S009', 'S007', 'S029', 'S020', 'S036', 'S056', 'S033', 'S055']"
R007_up,"['S015', 'S059', 'S041', 'S030', 'S020', 'S008', 'S051', 'S012', 'S007', 'S002', 'S004', 'S044', 'S055', 'S052']"
R007_down,"['S052', 'S055', 'S044', 'S004', 'S002', 'S007', 'S012', 'S051', 'S008', 'S020', 'S030', 'S041', 'S059', 'S015']"
R008_up,"['S037', 'S015', 'S023', 'S011', 'S059', 'S013', 'S049', 'S056', 'S008', 'S002', 'S001', 'S057', 'S018', 'S030', 'S022', 'S024', 'S041', 'S055', 'S044']"
R008_down,"['S044', 'S055', 'S041', 'S024', 'S022', 'S030', 'S018', 'S057', 'S001', 'S002', 'S008', 'S056', 'S049', 'S013', 'S059', 'S011', 'S023', 'S015', 'S037']"
