route_id,stop_order,stop_id,time_from_start_min
R001_up,1,S030,0
R001_up,2,S027,7
R001_up,3,S056,15
R001_up,4,S043,20
R001_up,5,S022,26
R001_up,6,S055,31
R001_up,7,S048,37
R001_up,8,S046,42
R001_up,9,S059,47
R001_up,10,S060,52
R001_up,11,S010,56
R001_up,12,S047,63
R001_up,13,S004,71
R001_up,14,S015,79
R001_down,1,S015,0
R001_down,2,S004,7
R001_down,3,S047,15
R001_down,4,S010,22
R001_down,5,S060,28
R001_down,6,S059,33
R001_down,7,S046,40
R001_down,8,S048,46
R001_down,9,S055,52
R001_down,10,S022,56
R001_down,11,S043,63
R001_down,12,S056,70
R001_down,13,S027,74
R001_down,14,S030,81
R002_up,1,S027,0
R002_up,2,S050,6
R002_up,3,S042,12
R002_up,4,S049,19
R002_up,5,S032,24
R002_up,6,S010,29
R002_up,7,S047,37
R002_up,8,S013,42
R002_up,9,S016,49
R002_up,10,S025,57
R002_up,11,S024,62
R002_up,12,S031,66
R002_up,13,S019,70
R002_up,14,S026,74
R002_up,15,S044,78
R002_down,1,S044,0
R002_down,2,S026,4
R002_down,3,S019,10
R002_down,4,S031,17
R002_down,5,S024,24
R002_down,6,S025,28
R002_down,7,S016,34
R002_down,8,S013,42
R002_down,9,S047,47
R002_down,10,S010,55
R002_down,11,S032,63
R002_down,12,S049,68
R002_down,13,S042,73
R002_down,14,S050,78
R002_down,15,S027,86
R003_up,1,S053,0
R003_up,2,S022,7
R003_up,3,S015,12
R003_up,4,S046,16
R003_up,5,S033,22
R003_up,6,S011,28
R003_up,7,S024,34
R003_up,8,S003,41
R003_up,9,S045,48
R003_up,10,S017,52
R003_up,11,S059,58
R003_up,12,S048,62
R003_up,13,S042,70
R003_up,14,S037,78
R003_down,1,S037,0
R003_down,2,S042,8
R003_down,3,S048,13
R003_down,4,S059,17
R003_down,5,S017,23
R003_down,6,S045,28
R003_down,7,S003,34
R003_down,8,S024,38
R003_down,9,S011,45
R003_down,10,S033,51
R003_down,11,S046,57
R003_down,12,S015,62
R003_down,13,S022,69
R003_down,14,S053,73
R004_up,1,S014,0
R004_up,2,S034,4
R004_up,3,S007,9
R004_up,4,S049,17
R004_up,5,S016,22
R004_up,6,S003,28
R004_up,7,S043,34
R004_up,8,S023,41
R004_up,9,S013,45
R004_up,10,S012,50
R004_up,11,S052,56
R004_up,12,S053,64
R004_up,13,S018,71
R004_up,14,S056,75
R004_up,15,S004,81
R004_down,1,S004,0
R004_down,2,S056,4
