bus_id,trip_id,route_id,planned_start,planned_end
B001,R001_down_2025-10-08_0536,R001_down,2025-10-08 05:51:00,2025-10-09 03:41:00
B002,R003_down_2025-10-08_0537,R003_down,2025-10-08 05:51:00,2025-10-09 04:48:00
B003,R003_up_2025-10-08_0541,R003_up,2025-10-08 05:51:00,2025-10-09 04:48:00
B004,R005_down_2025-10-08_0541,R005_down,2025-10-08 05:51:00,2025-10-09 06:10:00
B005,R004_up_2025-10-08_0544,R004_up,2025-10-08 05:51:00,2025-10-08 20:58:00
B006,R001_up_2025-10-08_0546,R001_up,2025-10-08 05:51:00,2025-10-09 03:41:00
B007,R007_down_2025-10-08_0546,R007_down,2025-10-08 05:51:00,2025-10-08 20:10:00
B008,R004_down_2025-10-08_0623,R004_down,2025-10-08 06:23:00,2025-10-08 21:30:00
B009,R002_down_2025-10-08_0624,R002_down,2025-10-08 06:24:00,2025-10-09 00:40:00
B010,R008_down_2025-10-08_0630,R008_down,2025-10-08 06:30:00,2025-10-09 16:49:00
B011,R007_up_2025-10-08_0633,R007_up,2025-10-08 06:33:00,2025-10-08 20:52:00
B012,R002_up_2025-10-08_0634,R002_up,2025-10-08 06:34:00,2025-10-09 00:50:00
B013,R005_up_2025-10-08_0714,R005_up,2025-10-08 07:14:00,2025-10-09 07:33:00
B014,R006_up_2025-10-08_0744,R006_up,2025-10-08 07:44:00,2025-10-09 08:04:00
B015,R008_up_2025-10-08_0749,R008_up,2025-10-08 07:49:00,2025-10-09 18:08:00
B016,R006_down_2025-10-08_0805,R006_down,2025-10-08 08:05:00,2025-10-09 08:25:00
