route_id,stops
R001_up,"['S025', 'S048', 'S049', 'S005', 'S042', 'S038', 'S052', 'S045', 'S029', 'S040', 'S036', 'S011', 'S031']"
R001_down,"['S031', 'S011', 'S036', 'S040', 'S029', 'S045', 'S052', 'S038', 'S042', 'S005', 'S049', 'S048', 'S025']"
R002_up,"['S020', 'S010', 'S015', 'S049', 'S042', 'S017', 'S035', 'S026', 'S047', 'S003', 'S039', 'S012']"
R002_down,"['S012', 'S039', 'S003', 'S047', 'S026', 'S035', 'S017', 'S042', 'S049', 'S015', 'S010', 'S020']"
R003_up,"['S058', 'S028', 'S032', 'S045', 'S046', 'S003', 'S004', 'S051', 'S049', 'S053', 'S015', 'S011', 'S029']"
R003_down,"['S029', 'S011', 'S015', 'S053', 'S049', 'S051', 'S004', 'S003', 'S046', 'S045', 'S032', 'S028', 'S058']"
R004_up,"['S037', 'S009', 'S032', 'S054', 'S029', 'S052', 'S015', 'S026', 'S023', 'S001', 'S036', 'S040']"
R004_down,"['S040', 'S036', 'S001', 'S023', 'S026', 'S015', 'S052', 'S029', 'S054', 'S032', 'S009', 'S037']"
R005_up,"['S055', 'S028', 'S025', 'S007', 'S008', 'S011', 'S039', 'S013', 'S012', 'S016', 'S049', 'S015', 'S051', 'S006', 'S054', 'S035']"
R005_down,"['S035', 'S054', 'S006', 'S051', 'S015', 'S049', 'S016', 'S012', 'S013', 'S039', 'S011', 'S008', 'S007', 'S025', 'S028', 'S055']"
R006_up,"['S011', 'S059', 'S013', 'S043', 'S060', 'S045', 'S007', 'S039', 'S042', 'S051', 'S047', 'S036', 'S046', 'S032', 'S028', 'S041', 'S044']"
R006_down,"['S044', 'S041', 'S028', 'S032', 'S046', 'S036', 'S047', 'S051', 'S042', 'S039', 'S007', 'S045', 'S060', 'S043', 'S013', 'S059', 'S011']"
R007_up,"['S014', 'S059', 'S033', 'S032', 'S029', 'S028', 'S039', 'S022', 'S013', 'S011', 'S035', 'S001']"
R007_down,"['S001', 'S035', 'S011', 'S013', 'S022', 'S039', 'S028', 'S029', 'S032', 'S033', 'S059', 'S014']"
R008_up,"['S011', 'S009', 'S007', 'S047', 'S006', 'S038', 'S039', 'S040', 'S031', 'S052', 'S004', 'S017', 'S048', 'S046', 'S042', 'S059', 'S005']"
R008_down,"['S005', 'S059', 'S042', 'S046', 'S048', 'S017', 'S004', 'S052', 'S031', 'S040', 'S039', 'S038', 'S006', 'S047', 'S007', 'S009', 'S011']"
